#
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
MARK 000
1.0,1.0,0.0,1.0,7.245,957.831
1.0,0.0,1.0,1.0,3.628,961.459
0.0,0.0,0.0,1.0,0.947,962.406
1.0,0.0,0.0,1.0,7.260,969.666
0.0,0.0,0.0,1.0,4.596,974.262
1.0,1.0,0.0,1.0,7.277,981.539
0.0,1.0,0.0,1.0,4.612,986.151
0.0,0.0,1.0,1.0,3.718,989.869
1.0,0.0,0.0,1.0,3.596,993.465
0.0,0.0,0.0,1.0,4.593,998.058
1.0,1.0,0.0,1.0,7.306,1005.364
1.0,0.0,1.0,1.0,3.658,1009.022
0.0,0.0,0.0,1.0,0.955,1009.977
1.0,0.0,0.0,1.0,7.317,1017.294
0.0,0.0,0.0,1.0,4.624,1021.918
1.0,1.0,0.0,1.0,7.329,1029.247
0.0,1.0,0.0,1.0,4.636,1033.884
0.0,0.0,1.0,1.0,3.734,1037.617
1.0,0.0,0.0,1.0,3.626,1041.244
0.0,0.0,0.0,1.0,4.623,1045.867
1.0,1.0,0.0,1.0,7.350,1053.217
1.0,0.0,1.0,1.0,3.662,1056.879
0.0,0.0,0.0,1.0,0.958,1057.837
1.0,0.0,0.0,1.0,7.327,1065.164
0.0,0.0,0.0,1.0,4.617,1069.781
1.0,1.0,0.0,1.0,7.315,1077.095
0.0,1.0,0.0,1.0,4.613,1081.709
0.0,0.0,1.0,1.0,3.713,1085.421
1.0,0.0,0.0,1.0,3.606,1089.027
0.0,0.0,0.0,1.0,4.589,1093.616
1.0,1.0,0.0,1.0,7.295,1100.911
1.0,0.0,1.0,1.0,3.654,1104.565
0.0,0.0,0.0,1.0,0.956,1105.521
1.0,0.0,0.0,1.0,7.296,1112.817
0.0,0.0,0.0,1.0,4.592,1117.409
1.0,1.0,0.0,1.0,7.276,1124.685
0.0,1.0,0.0,1.0,4.595,1129.280
0.0,0.0,1.0,1.0,3.697,1132.977
1.0,0.0,0.0,1.0,3.587,1136.564
0.0,0.0,0.0,1.0,4.572,1141.136
1.0,1.0,0.0,1.0,7.238,1148.374
1.0,0.0,1.0,1.0,3.594,1151.968
0.0,0.0,0.0,1.0,0.933,1152.900
1.0,0.0,0.0,1.0,7.188,1160.089
0.0,0.0,0.0,1.0,4.524,1164.613
1.0,1.0,0.0,1.0,7.096,1171.708
0.0,1.0,0.0,1.0,4.473,1176.181
0.0,0.0,1.0,1.0,3.572,1179.753
1.0,0.0,0.0,1.0,3.443,1183.196
0.0,0.0,0.0,1.0,4.387,1187.583
1.0,1.0,0.0,1.0,6.931,1194.514
1.0,0.0,1.0,1.0,3.466,1197.980
0.0,0.0,0.0,1.0,0.901,1198.881
1.0,0.0,0.0,1.0,6.845,1205.726
0.0,0.0,0.0,1.0,4.298,1210.024
1.0,1.0,0.0,1.0,6.710,1216.734
0.0,1.0,0.0,1.0,4.240,1220.975
0.0,0.0,1.0,1.0,3.381,1224.355
1.0,0.0,0.0,1.0,3.286,1227.641
0.0,0.0,0.0,1.0,4.190,1231.832
1.0,1.0,0.0,1.0,6.652,1238.484
1.0,0.0,1.0,1.0,3.318,1241.802
0.0,0.0,0.0,1.0,0.900,1242.703
1.0,0.0,0.0,1.0,6.689,1249.392
0.0,0.0,0.0,1.0,4.257,1253.649
1.0,1.0,0.0,1.0,6.733,1260.382
0.0,1.0,0.0,1.0,4.335,1264.717
0.0,0.0,1.0,1.0,3.490,1268.207
1.0,0.0,0.0,1.0,3.404,1271.611
0.0,0.0,0.0,1.0,4.394,1276.005
1.0,1.0,0.0,1.0,7.055,1283.060
1.0,0.0,1.0,1.0,3.563,1286.624
0.0,0.0,0.0,1.0,0.965,1287.589
1.0,0.0,0.0,1.0,7.216,1294.805
0.0,0.0,0.0,1.0,4.631,1299.436
1.0,1.0,0.0,1.0,7.321,1306.758
0.0,1.0,0.0,1.0,4.700,1311.457
0.0,0.0,1.0,1.0,3.784,1315.241
1.0,0.0,0.0,1.0,3.652,1318.893
0.0,0.0,0.0,1.0,4.710,1323.603
1.0,1.0,0.0,1.0,7.465,1331.068
1.0,0.0,1.0,1.0,3.738,1334.806
0.0,0.0,0.0,1.0,0.976,1335.782
1.0,0.0,0.0,1.0,7.424,1343.206
0.0,0.0,0.0,1.0,4.683,1347.889
1.0,1.0,0.0,1.0,7.325,1355.214
0.0,1.0,0.0,1.0,4.617,1359.830
0.0,0.0,1.0,1.0,3.685,1363.515
1.0,0.0,0.0,1.0,3.539,1367.054
0.0,0.0,0.0,1.0,4.516,1371.570
1.0,1.0,0.0,1.0,7.079,1378.649
1.0,0.0,1.0,1.0,3.531,1382.180
0.0,0.0,0.0,1.0,0.913,1383.094
1.0,0.0,0.0,1.0,6.953,1390.047
0.0,0.0,0.0,1.0,4.363,1394.410
1.0,1.0,0.0,1.0,6.814,1401.225
0.0,1.0,0.0,1.0,4.301,1405.525
0.0,0.0,1.0,1.0,3.430,1408.955
1.0,0.0,0.0,1.0,3.320,1412.275
0.0,0.0,0.0,1.0,4.244,1416.519
1.0,1.0,0.0,1.0,6.711,1423.230
1.0,0.0,1.0,1.0,3.344,1426.574
0.0,0.0,0.0,1.0,0.907,1427.481
1.0,0.0,0.0,1.0,6.700,1434.181
0.0,0.0,0.0,1.0,4.250,1438.431
1.0,1.0,0.0,1.0,6.710,1445.141
0.0,1.0,0.0,1.0,4.270,1449.411
0.0,0.0,1.0,1.0,3.442,1452.853
1.0,0.0,0.0,1.0,3.346,1456.198
0.0,0.0,0.0,1.0,4.295,1460.493
1.0,1.0,0.0,1.0,6.841,1467.334
1.0,0.0,1.0,1.0,3.439,1470.773
0.0,0.0,0.0,1.0,0.927,1471.700
1.0,0.0,0.0,1.0,6.890,1478.589
0.0,0.0,0.0,1.0,4.415,1483.004
1.0,1.0,0.0,1.0,6.946,1489.951
0.0,1.0,0.0,1.0,4.442,1494.393
0.0,0.0,1.0,1.0,3.553,1497.946
1.0,0.0,0.0,1.0,3.456,1501.402
0.0,0.0,0.0,1.0,4.443,1505.845
1.0,1.0,0.0,1.0,7.027,1512.872
1.0,0.0,1.0,1.0,3.538,1516.410
0.0,0.0,0.0,1.0,0.939,1517.349
1.0,0.0,0.0,1.0,7.028,1524.377
0.0,0.0,0.0,1.0,4.477,1528.854
1.0,1.0,0.0,1.0,6.972,1535.825
0.0,1.0,0.0,1.0,4.440,1540.266
0.0,0.0,1.0,1.0,3.530,1543.796
1.0,0.0,0.0,1.0,3.412,1547.208
0.0,0.0,0.0,1.0,4.382,1551.590
1.0,1.0,0.0,1.0,6.883,1558.473
1.0,0.0,1.0,1.0,3.444,1561.917
0.0,0.0,0.0,1.0,0.914,1562.831
1.0,0.0,0.0,1.0,6.839,1569.670
0.0,0.0,0.0,1.0,4.324,1573.994
1.0,1.0,0.0,1.0,6.748,1580.742
0.0,1.0,0.0,1.0,4.281,1585.023
0.0,0.0,1.0,1.0,3.412,1588.435
1.0,0.0,0.0,1.0,3.317,1591.752
0.0,0.0,0.0,1.0,4.231,1595.983
1.0,1.0,0.0,1.0,6.700,1602.683
1.0,0.0,1.0,1.0,3.330,1606.014
0.0,0.0,0.0,1.0,0.907,1606.920
1.0,0.0,0.0,1.0,6.669,1613.590
0.0,0.0,0.0,1.0,4.208,1617.798
1.0,1.0,0.0,1.0,6.659,1624.457
0.0,1.0,0.0,1.0,4.223,1628.679
0.0,0.0,1.0,1.0,3.385,1632.064
1.0,0.0,0.0,1.0,3.278,1635.342
0.0,0.0,0.0,1.0,4.209,1639.551
1.0,1.0,0.0,1.0,6.655,1646.206
1.0,0.0,1.0,1.0,3.357,1649.563
0.0,0.0,0.0,1.0,0.907,1650.470
1.0,0.0,0.0,1.0,6.678,1657.148
0.0,0.0,0.0,1.0,4.218,1661.366
1.0,1.0,0.0,1.0,6.694,1668.060
